file,rel_path,block,n_tokens,speaker,source,ai_draft,translation
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,0,10,주인공,う~腹が減った……,으~ 배고프다……,으~ 배고프다……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,1,37,Goenitz,",いらっしゃいいらっしゃい!<6E5C>お、そこのお兄さん、<6E5C>今日は大根が安いよ!",",어서와요 어서와요!<6E5C>오, 거기 총각,<6E5C>오늘 무가 싸다구!",",어서와요 어서와요!<6E5C>오, 거기 총각,<6E5C>오늘 무가 싸다구!"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,2,13,주인공,いや、俺は金がなくて……,"아니,난돈이없어서……","아니,난돈이없어서……"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,3,3,[효과음/내레이션],スッ,휙,휙
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,4,10,UNKNOWN_1e,これ……きれい、ね,이거…… 예쁘네,이거…… 예쁘네
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,5,4,주인공,あ……,아……,아……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,6,3,Shiki,……,……,……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,7,40,UNKNOWN_4e,",お姉さん、お目が高い!<6E5C>そいつは遠い異国からやってきた<6E5C>果物さ.珍しいだろ!",",아가씨,보는눈있네!<6E5C>그건머나먼이국에서온<6E5C>과일이야.신기하지!",",아가씨,보는눈있네!<6E5C>그건머나먼이국에서온<6E5C>과일이야.신기하지!"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,8,21,Shiki,でも、いずれは食われ……<6E5C>消える運命……,하지만언젠가는먹히고……<6E5C>사라질운명……,하지만언젠가는먹히고……<6E5C>사라질운명……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,9,26,주인공,色さん、眼帯なんかして、<6E5C>目をどうかしたんですか?,"시키씨,왜안대를했어요?<6E5C>눈이왜그래요?","시키씨,왜안대를했어요?<6E5C>눈이왜그래요?"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,10,3,Shiki,……,……,……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,11,12,주인공,(うむむ……無視か?),(흠……무시하나?),(흠……무시하나?)
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,12,12,[선택지],もう一度尋ねる話を変える,다시묻는다\화제를바꾼다,다시묻는다\화제를바꾼다
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,13,25,주인공,あ、あの、色さん.<6E5C>その目、どうかしたんですか?,"아,저기,시키씨.<6E5C>그눈,어떻게된거예요?","아,저기,시키씨.<6E5C>그눈,어떻게된거예요?"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,14,23,Shiki,……なんでもないわ.<6E5C>夕日がまぶしいだけ……,……아무것도아니야.<6E5C>석양이눈부실뿐……,……아무것도아니야.<6E5C>석양이눈부실뿐……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,15,20,주인공,夕日が……って、<6E5C>どうして片一方だけ?,"석양이……라니,<6E5C>왜 한쪽만요?","석양이……라니,<6E5C>왜 한쪽만요?"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,16,28,Shiki,同じ色は痛むの……私の目に、<6E5C>夕日はまぶし過ぎるわ……,"같은색은아파……내눈에는,<6E5C>석양이너무눈부셔……","같은색은아파……내눈에는,<6E5C>석양이너무눈부셔……"
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,17,30,Shiki,……この果実も、私の目と同じ色.<6E5C>あの人を待つ、瞳の色……,……이과일도내눈과같은색.<6E5C>그사람을기다리는눈빛……,……이과일도내눈과같은색.<6E5C>그사람을기다리는눈빛……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,18,7,주인공,あの人って?,그사람이?,그사람이?
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,19,3,Shiki,……,……,……
dom3Shiki_L01.mes,Script/dom3Shiki_L01.mes,20,3,[효과음/내레이션],スッ,휙,휙
